,value,timeOffset,referenceTime
238,4.6,PT0H,2024-08-26T00:00:00.000Z
239,2.9,PT0H,2024-08-27T00:00:00.000Z
240,2.7,PT0H,2024-08-28T00:00:00.000Z
241,2.4,PT0H,2024-08-29T00:00:00.000Z
242,2.3,PT0H,2024-08-30T00:00:00.000Z
243,2.4,PT0H,2024-08-31T00:00:00.000Z
244,1.7,PT0H,2024-09-01T00:00:00.000Z
245,1.7,PT0H,2024-09-02T00:00:00.000Z
246,2.0,PT0H,2024-09-03T00:00:00.000Z
247,2.8,PT0H,2024-09-04T00:00:00.000Z
248,2.9,PT0H,2024-09-05T00:00:00.000Z
249,1.5,PT0H,2024-09-06T00:00:00.000Z
250,2.2,PT0H,2024-09-07T00:00:00.000Z
251,2.8,PT0H,2024-09-08T00:00:00.000Z
252,2.1,PT0H,2024-09-09T00:00:00.000Z
253,3.9,PT0H,2024-09-10T00:00:00.000Z
254,4.3,PT0H,2024-09-11T00:00:00.000Z
255,2.8,PT0H,2024-09-12T00:00:00.000Z
256,2.0,PT0H,2024-09-13T00:00:00.000Z
257,1.6,PT0H,2024-09-14T00:00:00.000Z
258,2.6,PT0H,2024-09-15T00:00:00.000Z
259,1.3,PT0H,2024-09-16T00:00:00.000Z
260,1.4,PT0H,2024-09-17T00:00:00.000Z
261,1.4,PT0H,2024-09-18T00:00:00.000Z
262,1.3,PT0H,2024-09-19T00:00:00.000Z
263,1.1,PT0H,2024-09-20T00:00:00.000Z
264,1.7,PT0H,2024-09-21T00:00:00.000Z
265,1.2,PT0H,2024-09-22T00:00:00.000Z
266,1.7,PT0H,2024-09-23T00:00:00.000Z
267,1.5,PT0H,2024-09-24T00:00:00.000Z
268,2.8,PT0H,2024-09-25T00:00:00.000Z
269,3.2,PT0H,2024-09-26T00:00:00.000Z
270,4.1,PT0H,2024-09-27T00:00:00.000Z
271,2.1,PT0H,2024-09-28T00:00:00.000Z
272,2.0,PT0H,2024-09-29T00:00:00.000Z
273,1.6,PT0H,2024-09-30T00:00:00.000Z
274,2.1,PT0H,2024-10-01T00:00:00.000Z
275,1.2,PT0H,2024-10-02T00:00:00.000Z
276,1.2,PT0H,2024-10-03T00:00:00.000Z
277,1.4,PT0H,2024-10-04T00:00:00.000Z
278,1.2,PT0H,2024-10-05T00:00:00.000Z
279,2.1,PT0H,2024-10-06T00:00:00.000Z
280,2.0,PT0H,2024-10-07T00:00:00.000Z
281,2.2,PT0H,2024-10-08T00:00:00.000Z
282,2.1,PT0H,2024-10-09T00:00:00.000Z
283,2.4,PT0H,2024-10-10T00:00:00.000Z
284,1.9,PT0H,2024-10-11T00:00:00.000Z
285,1.9,PT0H,2024-10-12T00:00:00.000Z
286,2.7,PT0H,2024-10-13T00:00:00.000Z
287,1.8,PT0H,2024-10-14T00:00:00.000Z
288,1.5,PT0H,2024-10-15T00:00:00.000Z
289,1.2,PT0H,2024-10-16T00:00:00.000Z
290,1.5,PT0H,2024-10-17T00:00:00.000Z
291,1.0,PT0H,2024-10-18T00:00:00.000Z
292,1.5,PT0H,2024-10-19T00:00:00.000Z
293,3.3,PT0H,2024-10-20T00:00:00.000Z
294,5.5,PT0H,2024-10-21T00:00:00.000Z
295,3.5,PT0H,2024-10-22T00:00:00.000Z
296,3.0,PT0H,2024-10-23T00:00:00.000Z
297,2.9,PT0H,2024-10-24T00:00:00.000Z
298,1.4,PT0H,2024-10-25T00:00:00.000Z
299,1.7,PT0H,2024-10-26T00:00:00.000Z
300,2.3,PT0H,2024-10-27T00:00:00.000Z
301,2.0,PT0H,2024-10-28T00:00:00.000Z
302,1.6,PT0H,2024-10-29T00:00:00.000Z
303,2.0,PT0H,2024-10-30T00:00:00.000Z
304,2.8,PT0H,2024-10-31T00:00:00.000Z
305,4.9,PT0H,2024-11-01T00:00:00.000Z
306,1.9,PT0H,2024-11-02T00:00:00.000Z
307,2.1,PT0H,2024-11-03T00:00:00.000Z
308,1.0,PT0H,2024-11-04T00:00:00.000Z
309,0.9,PT0H,2024-11-05T00:00:00.000Z
310,1.3,PT0H,2024-11-06T00:00:00.000Z
311,0.9,PT0H,2024-11-07T00:00:00.000Z
312,1.2,PT0H,2024-11-08T00:00:00.000Z
313,1.7,PT0H,2024-11-09T00:00:00.000Z
314,1.7,PT0H,2024-11-10T00:00:00.000Z
315,1.1,PT0H,2024-11-11T00:00:00.000Z
316,1.0,PT0H,2024-11-12T00:00:00.000Z
317,1.2,PT0H,2024-11-13T00:00:00.000Z
318,1.1,PT0H,2024-11-14T00:00:00.000Z
319,1.7,PT0H,2024-11-15T00:00:00.000Z
320,5.6,PT0H,2024-11-16T00:00:00.000Z
321,2.1,PT0H,2024-11-17T00:00:00.000Z
322,1.4,PT0H,2024-11-18T00:00:00.000Z
