Unnamed: 0,verdi,tidsforskyvning,referansetid
237,3.6,PT0H,2024-08-25 00:00:00+00:00
238,4.6,PT0H,2024-08-26 00:00:00+00:00
239,2.9,PT0H,2024-08-27 00:00:00+00:00
240,2.7,PT0H,2024-08-28 00:00:00+00:00
241,2.4,PT0H,2024-08-29 00:00:00+00:00
242,2.3,PT0H,2024-08-30 00:00:00+00:00
243,2.4,PT0H,2024-08-31 00:00:00+00:00
244,1.7,PT0H,2024-09-01 00:00:00+00:00
245,1.7,PT0H,2024-09-02 00:00:00+00:00
246,2.0,PT0H,2024-09-03 00:00:00+00:00
247,2.8,PT0H,2024-09-04 00:00:00+00:00
248,2.9,PT0H,2024-09-05 00:00:00+00:00
249,1.5,PT0H,2024-09-06 00:00:00+00:00
250,2.2,PT0H,2024-09-07 00:00:00+00:00
251,2.8,PT0H,2024-09-08 00:00:00+00:00
252,2.1,PT0H,2024-09-09 00:00:00+00:00
253,3.9,PT0H,2024-09-10 00:00:00+00:00
254,4.3,PT0H,2024-09-11 00:00:00+00:00
255,2.8,PT0H,2024-09-12 00:00:00+00:00
256,2.0,PT0H,2024-09-13 00:00:00+00:00
257,1.6,PT0H,2024-09-14 00:00:00+00:00
258,2.6,PT0H,2024-09-15 00:00:00+00:00
259,1.3,PT0H,2024-09-16 00:00:00+00:00
260,1.4,PT0H,2024-09-17 00:00:00+00:00
261,1.4,PT0H,2024-09-18 00:00:00+00:00
262,1.3,PT0H,2024-09-19 00:00:00+00:00
263,1.1,PT0H,2024-09-20 00:00:00+00:00
264,1.7,PT0H,2024-09-21 00:00:00+00:00
265,1.2,PT0H,2024-09-22 00:00:00+00:00
266,1.7,PT0H,2024-09-23 00:00:00+00:00
267,1.5,PT0H,2024-09-24 00:00:00+00:00
268,2.8,PT0H,2024-09-25 00:00:00+00:00
269,3.2,PT0H,2024-09-26 00:00:00+00:00
270,4.1,PT0H,2024-09-27 00:00:00+00:00
271,2.1,PT0H,2024-09-28 00:00:00+00:00
272,2.0,PT0H,2024-09-29 00:00:00+00:00
273,1.6,PT0H,2024-09-30 00:00:00+00:00
274,2.1,PT0H,2024-10-01 00:00:00+00:00
275,1.2,PT0H,2024-10-02 00:00:00+00:00
276,1.2,PT0H,2024-10-03 00:00:00+00:00
277,1.4,PT0H,2024-10-04 00:00:00+00:00
278,1.2,PT0H,2024-10-05 00:00:00+00:00
279,2.1,PT0H,2024-10-06 00:00:00+00:00
280,2.0,PT0H,2024-10-07 00:00:00+00:00
281,2.2,PT0H,2024-10-08 00:00:00+00:00
282,2.1,PT0H,2024-10-09 00:00:00+00:00
283,2.4,PT0H,2024-10-10 00:00:00+00:00
284,1.9,PT0H,2024-10-11 00:00:00+00:00
285,1.9,PT0H,2024-10-12 00:00:00+00:00
286,2.7,PT0H,2024-10-13 00:00:00+00:00
287,1.8,PT0H,2024-10-14 00:00:00+00:00
288,1.5,PT0H,2024-10-15 00:00:00+00:00
289,1.2,PT0H,2024-10-16 00:00:00+00:00
290,1.5,PT0H,2024-10-17 00:00:00+00:00
291,1.0,PT0H,2024-10-18 00:00:00+00:00
292,1.5,PT0H,2024-10-19 00:00:00+00:00
293,3.3,PT0H,2024-10-20 00:00:00+00:00
294,5.5,PT0H,2024-10-21 00:00:00+00:00
295,3.5,PT0H,2024-10-22 00:00:00+00:00
296,3.0,PT0H,2024-10-23 00:00:00+00:00
297,2.9,PT0H,2024-10-24 00:00:00+00:00
298,1.4,PT0H,2024-10-25 00:00:00+00:00
299,1.7,PT0H,2024-10-26 00:00:00+00:00
300,2.3,PT0H,2024-10-27 00:00:00+00:00
301,2.0,PT0H,2024-10-28 00:00:00+00:00
302,1.6,PT0H,2024-10-29 00:00:00+00:00
303,2.0,PT0H,2024-10-30 00:00:00+00:00
304,2.8,PT0H,2024-10-31 00:00:00+00:00
305,4.9,PT0H,2024-11-01 00:00:00+00:00
306,1.9,PT0H,2024-11-02 00:00:00+00:00
307,2.1,PT0H,2024-11-03 00:00:00+00:00
308,1.0,PT0H,2024-11-04 00:00:00+00:00
309,0.9,PT0H,2024-11-05 00:00:00+00:00
310,1.3,PT0H,2024-11-06 00:00:00+00:00
311,0.9,PT0H,2024-11-07 00:00:00+00:00
312,1.2,PT0H,2024-11-08 00:00:00+00:00
313,1.7,PT0H,2024-11-09 00:00:00+00:00
314,1.7,PT0H,2024-11-10 00:00:00+00:00
315,1.1,PT0H,2024-11-11 00:00:00+00:00
316,1.0,PT0H,2024-11-12 00:00:00+00:00
317,1.2,PT0H,2024-11-13 00:00:00+00:00
318,1.1,PT0H,2024-11-14 00:00:00+00:00
319,1.7,PT0H,2024-11-15 00:00:00+00:00
320,5.6,PT0H,2024-11-16 00:00:00+00:00
321,2.1,PT0H,2024-11-17 00:00:00+00:00
322,1.4,PT0H,2024-11-18 00:00:00+00:00
323,3.1,PT0H,2024-11-19 00:00:00+00:00
324,3.2,PT0H,2024-11-20 00:00:00+00:00
325,2.5,PT0H,2024-11-21 00:00:00+00:00
326,1.4,PT0H,2024-11-22 00:00:00+00:00
327,1.4,PT0H,2024-11-23 00:00:00+00:00
328,2.8,PT0H,2024-11-24 00:00:00+00:00
329,2.1,PT0H,2024-11-25 00:00:00+00:00
330,3.0,PT0H,2024-11-26 00:00:00+00:00
331,4.0,PT0H,2024-11-27 00:00:00+00:00
332,2.4,PT0H,2024-11-28 00:00:00+00:00
333,1.1,PT0H,2024-11-29 00:00:00+00:00
334,3.4,PT0H,2024-11-30 00:00:00+00:00
335,3.8,PT0H,2024-12-01 00:00:00+00:00
336,4.4,PT0H,2024-12-02 00:00:00+00:00
337,3.7,PT0H,2024-12-03 00:00:00+00:00
338,2.2,PT0H,2024-12-04 00:00:00+00:00
339,2.7,PT0H,2024-12-05 00:00:00+00:00
340,2.0,PT0H,2024-12-06 00:00:00+00:00
341,4.1,PT0H,2024-12-07 00:00:00+00:00
342,3.8,PT0H,2024-12-08 00:00:00+00:00
343,1.6,PT0H,2024-12-09 00:00:00+00:00
344,1.3,PT0H,2024-12-10 00:00:00+00:00
345,0.7,PT0H,2024-12-11 00:00:00+00:00
346,0.7,PT0H,2024-12-12 00:00:00+00:00
347,0.6,PT0H,2024-12-13 00:00:00+00:00
348,3.0,PT0H,2024-12-14 00:00:00+00:00
349,2.1,PT0H,2024-12-15 00:00:00+00:00
350,2.9,PT0H,2024-12-16 00:00:00+00:00
351,1.6,PT0H,2024-12-17 00:00:00+00:00
352,3.6,PT0H,2024-12-18 00:00:00+00:00
353,2.4,PT0H,2024-12-19 00:00:00+00:00
354,2.4,PT0H,2024-12-20 00:00:00+00:00
355,1.8,PT0H,2024-12-21 00:00:00+00:00
356,1.9,PT0H,2024-12-22 00:00:00+00:00
357,3.4,PT0H,2024-12-23 00:00:00+00:00
358,1.5,PT0H,2024-12-24 00:00:00+00:00
359,1.5,PT0H,2024-12-25 00:00:00+00:00
360,0.9,PT0H,2024-12-26 00:00:00+00:00
361,0.9,PT0H,2024-12-27 00:00:00+00:00
362,1.1,PT0H,2024-12-28 00:00:00+00:00
363,2.3,PT0H,2024-12-29 00:00:00+00:00
364,2.2,PT0H,2024-12-30 00:00:00+00:00
365,3.6,PT0H,2024-01-01 00:00:00+00:00
366,4.0,PT0H,2024-01-02 00:00:00+00:00
367,3.9,PT0H,2024-01-03 00:00:00+00:00
368,4.1,PT0H,2024-01-04 00:00:00+00:00
369,4.8,PT0H,2024-01-05 00:00:00+00:00
370,5.1,PT0H,2024-01-06 00:00:00+00:00
371,3.9,PT0H,2024-01-07 00:00:00+00:00
372,4.4,PT0H,2024-01-08 00:00:00+00:00
373,2.7,PT0H,2024-01-09 00:00:00+00:00
374,4.5,PT0H,2024-01-10 00:00:00+00:00
375,3.3,PT0H,2024-01-11 00:00:00+00:00
376,3.5,PT0H,2024-01-12 00:00:00+00:00
377,3.4,PT0H,2024-01-13 00:00:00+00:00
378,1.8,PT0H,2024-01-14 00:00:00+00:00
379,2.2,PT0H,2024-01-15 00:00:00+00:00
380,3.3,PT0H,2024-01-16 00:00:00+00:00
381,1.8,PT0H,2024-01-17 00:00:00+00:00
382,1.6,PT0H,2024-01-18 00:00:00+00:00
383,2.1,PT0H,2024-01-19 00:00:00+00:00
384,6.4,PT0H,2024-01-20 00:00:00+00:00
385,3.0,PT0H,2024-01-21 00:00:00+00:00
386,4.4,PT0H,2024-01-22 00:00:00+00:00
387,3.0,PT0H,2024-01-23 00:00:00+00:00
388,1.8,PT0H,2024-01-24 00:00:00+00:00
389,3.3,PT0H,2024-01-25 00:00:00+00:00
390,3.7,PT0H,2024-01-26 00:00:00+00:00
391,3.7,PT0H,2024-01-27 00:00:00+00:00
392,7.1,PT0H,2024-01-28 00:00:00+00:00
393,7.1,PT0H,2024-01-29 00:00:00+00:00
394,7.1,PT0H,2024-01-30 00:00:00+00:00
395,4.8,PT0H,2024-01-31 00:00:00+00:00
396,5.1,PT0H,2024-02-01 00:00:00+00:00
397,4.2,PT0H,2024-02-02 00:00:00+00:00
398,1.6,PT0H,2024-02-03 00:00:00+00:00
399,2.3,PT0H,2024-02-04 00:00:00+00:00
400,3.0,PT0H,2024-02-05 00:00:00+00:00
401,3.2,PT0H,2024-02-06 00:00:00+00:00
402,3.1,PT0H,2024-02-07 00:00:00+00:00
403,4.7,PT0H,2024-02-08 00:00:00+00:00
404,3.7,PT0H,2024-02-09 00:00:00+00:00
405,6.0,PT0H,2024-02-10 00:00:00+00:00
406,3.1,PT0H,2024-02-11 00:00:00+00:00
407,2.0,PT0H,2024-02-12 00:00:00+00:00
408,5.3,PT0H,2024-02-13 00:00:00+00:00
409,5.3,PT0H,2024-02-14 00:00:00+00:00
410,5.3,PT0H,2024-02-15 00:00:00+00:00
