verdi,tidsforskyvning,referansetid
2.9,PT6H,2024-06-15T00:00:00.000Z
8.9,PT18H,2024-06-16T00:00:00.000Z
8.9,PT6H,2024-06-16T00:00:00.000Z
6.9,PT18H,2024-06-17T00:00:00.000Z
6.1,PT6H,2024-06-17T00:00:00.000Z
5.6,PT18H,2024-06-18T00:00:00.000Z
1.1,PT6H,2024-06-18T00:00:00.000Z
1.1,PT18H,2024-06-19T00:00:00.000Z
5.3,PT6H,2024-06-19T00:00:00.000Z
0.1,PT18H,2024-06-20T00:00:00.000Z
1.2,PT6H,2024-06-20T00:00:00.000Z
0.0,PT18H,2024-06-21T00:00:00.000Z
0.0,PT6H,2024-06-21T00:00:00.000Z
6.7,PT18H,2024-06-22T00:00:00.000Z
0.0,PT6H,2024-06-22T00:00:00.000Z
1.4,PT18H,2024-06-23T00:00:00.000Z
8.1,PT6H,2024-06-23T00:00:00.000Z
0.0,PT18H,2024-06-24T00:00:00.000Z
0.0,PT6H,2024-06-24T00:00:00.000Z
0.0,PT18H,2024-06-25T00:00:00.000Z
0.0,PT6H,2024-06-25T00:00:00.000Z
0.0,PT18H,2024-06-26T00:00:00.000Z
0.0,PT6H,2024-06-26T00:00:00.000Z
0.0,PT18H,2024-06-27T00:00:00.000Z
0.0,PT6H,2024-06-27T00:00:00.000Z
16.9,PT18H,2024-06-28T00:00:00.000Z
15.9,PT6H,2024-06-28T00:00:00.000Z
0.0,PT18H,2024-06-29T00:00:00.000Z
1.0,PT6H,2024-06-29T00:00:00.000Z
1.9,PT18H,2024-06-30T00:00:00.000Z
0.0,PT6H,2024-06-30T00:00:00.000Z
0.0,PT18H,2024-07-01T00:00:00.000Z
1.9,PT6H,2024-07-01T00:00:00.000Z
0.0,PT18H,2024-07-02T00:00:00.000Z
0.0,PT6H,2024-07-02T00:00:00.000Z
0.0,PT18H,2024-07-03T00:00:00.000Z
0.0,PT6H,2024-07-03T00:00:00.000Z
18.6,PT18H,2024-07-04T00:00:00.000Z
2.2,PT6H,2024-07-04T00:00:00.000Z
1.9,PT18H,2024-07-05T00:00:00.000Z
18.3,PT6H,2024-07-05T00:00:00.000Z
0.3,PT18H,2024-07-06T00:00:00.000Z
0.3,PT6H,2024-07-06T00:00:00.000Z
25.2,PT18H,2024-07-07T00:00:00.000Z
17.3,PT6H,2024-07-07T00:00:00.000Z
0.0,PT18H,2024-07-08T00:00:00.000Z
7.9,PT6H,2024-07-08T00:00:00.000Z
0.1,PT18H,2024-07-09T00:00:00.000Z
0.1,PT6H,2024-07-09T00:00:00.000Z
15.6,PT18H,2024-07-10T00:00:00.000Z
0.7,PT6H,2024-07-10T00:00:00.000Z
0.6,PT18H,2024-07-11T00:00:00.000Z
15.5,PT6H,2024-07-11T00:00:00.000Z
0.0,PT18H,2024-07-12T00:00:00.000Z
0.0,PT6H,2024-07-12T00:00:00.000Z
0.0,PT18H,2024-07-13T00:00:00.000Z
0.0,PT6H,2024-07-13T00:00:00.000Z
19.6,PT18H,2024-07-14T00:00:00.000Z
2.1,PT6H,2024-07-14T00:00:00.000Z
6.0,PT18H,2024-07-15T00:00:00.000Z
18.9,PT6H,2024-07-15T00:00:00.000Z
0.8,PT18H,2024-07-16T00:00:00.000Z
4.8,PT6H,2024-07-16T00:00:00.000Z
3.6,PT18H,2024-07-17T00:00:00.000Z
2.7,PT6H,2024-07-17T00:00:00.000Z
1.1,PT18H,2024-07-18T00:00:00.000Z
2.6,PT6H,2024-07-18T00:00:00.000Z
0.0,PT18H,2024-07-19T00:00:00.000Z
