,verdi,tidsforskyvning,referansetid
387,17.3,PT6H,2024-07-12T00:00:00.000Z
388,20.4,PT0H,2024-07-13T00:00:00.000Z
389,18.1,PT6H,2024-07-13T00:00:00.000Z
390,16.3,PT0H,2024-07-14T00:00:00.000Z
391,21.0,PT6H,2024-07-14T00:00:00.000Z
392,15.6,PT0H,2024-07-15T00:00:00.000Z
393,15.4,PT6H,2024-07-15T00:00:00.000Z
394,16.7,PT0H,2024-07-16T00:00:00.000Z
395,15.7,PT6H,2024-07-16T00:00:00.000Z
396,16.6,PT0H,2024-07-17T00:00:00.000Z
397,17.0,PT6H,2024-07-17T00:00:00.000Z
398,19.6,PT0H,2024-07-18T00:00:00.000Z
399,16.4,PT6H,2024-07-18T00:00:00.000Z
400,19.3,PT0H,2024-07-19T00:00:00.000Z
401,19.3,PT6H,2024-07-19T00:00:00.000Z
402,20.0,PT0H,2024-07-20T00:00:00.000Z
403,19.5,PT6H,2024-07-20T00:00:00.000Z
404,21.7,PT0H,2024-07-21T00:00:00.000Z
405,20.5,PT6H,2024-07-21T00:00:00.000Z
406,17.6,PT0H,2024-07-22T00:00:00.000Z
407,22.4,PT6H,2024-07-22T00:00:00.000Z
408,19.1,PT0H,2024-07-23T00:00:00.000Z
409,16.8,PT6H,2024-07-23T00:00:00.000Z
410,16.0,PT0H,2024-07-24T00:00:00.000Z
411,18.8,PT6H,2024-07-24T00:00:00.000Z
412,18.0,PT0H,2024-07-25T00:00:00.000Z
413,15.8,PT6H,2024-07-25T00:00:00.000Z
414,16.0,PT0H,2024-07-26T00:00:00.000Z
415,18.3,PT6H,2024-07-26T00:00:00.000Z
416,17.6,PT0H,2024-07-27T00:00:00.000Z
417,16.1,PT6H,2024-07-27T00:00:00.000Z
418,18.0,PT0H,2024-07-28T00:00:00.000Z
419,17.0,PT6H,2024-07-28T00:00:00.000Z
420,17.5,PT0H,2024-07-29T00:00:00.000Z
421,18.1,PT6H,2024-07-29T00:00:00.000Z
422,17.9,PT0H,2024-07-30T00:00:00.000Z
423,17.3,PT6H,2024-07-30T00:00:00.000Z
424,18.3,PT0H,2024-07-31T00:00:00.000Z
425,18.3,PT6H,2024-07-31T00:00:00.000Z
426,17.7,PT0H,2024-08-01T00:00:00.000Z
427,18.3,PT6H,2024-08-01T00:00:00.000Z
428,19.0,PT0H,2024-08-02T00:00:00.000Z
429,17.9,PT6H,2024-08-02T00:00:00.000Z
430,18.2,PT0H,2024-08-03T00:00:00.000Z
431,18.7,PT6H,2024-08-03T00:00:00.000Z
432,17.5,PT0H,2024-08-04T00:00:00.000Z
433,18.9,PT6H,2024-08-04T00:00:00.000Z
434,19.5,PT0H,2024-08-05T00:00:00.000Z
435,17.0,PT6H,2024-08-05T00:00:00.000Z
436,19.3,PT0H,2024-08-06T00:00:00.000Z
437,20.1,PT6H,2024-08-06T00:00:00.000Z
438,19.3,PT0H,2024-08-07T00:00:00.000Z
439,19.2,PT6H,2024-08-07T00:00:00.000Z
440,17.4,PT0H,2024-08-08T00:00:00.000Z
441,19.1,PT6H,2024-08-08T00:00:00.000Z
442,15.1,PT0H,2024-08-09T00:00:00.000Z
