Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (mnd);Minimumstemperatur (mnd);Maksimumstemperatur (mnd);Antall dager med nedbør
Oslo - Blindern;SN18700;08.1988;15;7;25,3;20
Bergen - Florida;SN50540;09.1988;12,2;7,1;19,7;23
Oslo - Blindern;SN18700;09.1988;12,2;2,4;19,8;14
Bergen - Florida;SN50540;10.1988;8,2;-1,2;15,3;19
Oslo - Blindern;SN18700;10.1988;5,1;-7;12,7;9
Bergen - Florida;SN50540;11.1988;4,5;-4,8;12,2;19
Oslo - Blindern;SN18700;11.1988;-1,1;-12,5;10,1;4
Bergen - Florida;SN50540;12.1988;3,6;-7,1;10,5;24
Oslo - Blindern;SN18700;12.1988;-2,7;-17,2;9,4;6
Bergen - Florida;SN50540;01.1989;5,9;1;9,6;30
Oslo - Blindern;SN18700;01.1989;2,4;-5,7;10,8;1
Bergen - Florida;SN50540;02.1989;4,6;-2,9;11,6;24
Oslo - Blindern;SN18700;02.1989;2,7;-4,9;11,9;8
Bergen - Florida;SN50540;03.1989;5;-0,9;12,5;24
Oslo - Blindern;SN18700;03.1989;3,6;-4,5;11,9;14
Bergen - Florida;SN50540;04.1989;6,7;-2,2;21;12
Oslo - Blindern;SN18700;04.1989;5,2;-3,6;20,8;16
Bergen - Florida;SN50540;05.1989;9,3;2,4;21,4;21
Oslo - Blindern;SN18700;05.1989;10,9;1,9;23,4;6
Bergen - Florida;SN50540;06.1989;13,2;2,9;24;13
Oslo - Blindern;SN18700;06.1989;15,2;3,5;28,9;8
Bergen - Florida;SN50540;07.1989;14,3;5,6;25,9;13
Oslo - Blindern;SN18700;07.1989;17;5,1;30,3;6
Bergen - Florida;SN50540;08.1989;12,9;5,8;20,3;20
Oslo - Blindern;SN18700;08.1989;14,3;5,5;23,4;16
Bergen - Florida;SN50540;09.1989;11,9;4,5;20,7;24
Oslo - Blindern;SN18700;09.1989;11,8;3;23,2;6
Bergen - Florida;SN50540;10.1989;8,7;0,8;17,4;22
Oslo - Blindern;SN18700;10.1989;6,5;-2,2;15,2;14
Bergen - Florida;SN50540;11.1989;5,7;-5,5;14,2;17
Oslo - Blindern;SN18700;11.1989;2,6;-8,1;11,3;11
Bergen - Florida;SN50540;12.1989;2,9;-8,3;10,3;22
Oslo - Blindern;SN18700;12.1989;-2,7;-17,5;9;4
Bergen - Florida;SN50540;01.1990;4,9;-5,3;10,2;24
Oslo - Blindern;SN18700;01.1990;0,8;-11,9;7,7;12
Bergen - Florida;SN50540;02.1990;5,4;0,2;10,6;26
Oslo - Blindern;SN18700;02.1990;3,5;-4,6;11,4;16
Bergen - Florida;SN50540;03.1990;5,2;-1,4;14,3;29
Oslo - Blindern;SN18700;03.1990;4,6;-6,3;17;5
Bergen - Florida;SN50540;04.1990;6,4;-0,8;16,8;22
Oslo - Blindern;SN18700;04.1990;6,5;-5;19,5;10
Bergen - Florida;SN50540;05.1990;11,4;2,5;23,5;5
Oslo - Blindern;SN18700;05.1990;12,3;2,3;26,2;2
Bergen - Florida;SN50540;06.1990;14,3;7,5;22,6;14
Oslo - Blindern;SN18700;06.1990;15,1;8;27;13
Bergen - Florida;SN50540;07.1990;14,7;7,7;26,4;15
Oslo - Blindern;SN18700;07.1990;16,6;7;29,2;10
Bergen - Florida;SN50540;08.1990;14,7;7,5;24,8;19
Oslo - Blindern;SN18700;08.1990;16;6;26;14
Bergen - Florida;SN50540;09.1990;10,7;1,9;18,3;18
Oslo - Blindern;SN18700;09.1990;10,3;-2;19,6;6
Bergen - Florida;SN50540;10.1990;9,4;-0,2;20,9;12
Oslo - Blindern;SN18700;10.1990;6,3;-5,5;15,7;11
Bergen - Florida;SN50540;11.1990;5,4;-1;11,4;11
Oslo - Blindern;SN18700;11.1990;0,2;-11,1;9,5;7
Bergen - Florida;SN50540;12.1990;3,9;-1,8;9,7;22
Oslo - Blindern;SN18700;12.1990;-1;-11,4;9,9;14
Bergen - Florida;SN50540;01.1991;3,2;-4,6;8,4;18
Oslo - Blindern;SN18700;01.1991;-2,8;-16,5;4,4;10
Bergen - Florida;SN50540;02.1991;0,3;-9,8;8,4;10
Oslo - Blindern;SN18700;02.1991;-4;-15,5;8,5;5
Bergen - Florida;SN50540;03.1991;5,4;-3,7;14,3;18
Oslo - Blindern;SN18700;03.1991;1,8;-6,3;13,7;10
Bergen - Florida;SN50540;04.1991;6,9;-2,3;16,1;15
Oslo - Blindern;SN18700;04.1991;5,5;-4,5;14,4;5
Bergen - Florida;SN50540;05.1991;8,9;2,4;20,3;11
Oslo - Blindern;SN18700;05.1991;10,6;0,8;24,2;1
Bergen - Florida;SN50540;06.1991;10,8;2,7;19,5;18
Oslo - Blindern;SN18700;06.1991;11,6;3,5;20,6;16
Bergen - Florida;SN50540;07.1991;17;7;29,5;7
